age,job,education,balance,housing,loan,pdays,previous,poutcome,duration,y
30,unemployed,primary,1787,no,no,-1,0,unknown,79,no
33,services,secondary,4789,yes,yes,339,4,failure,220,no
35,management,tertiary,1350,yes,no,330,1,failure,185,no
30,management,tertiary,1476,yes,yes,-1,0,unknown,199,no
59,blue-collar,secondary,0,yes,no,-1,0,unknown,226,no
35,management,tertiary,747,no,no,176,3,failure,141,no
36,self-employed,tertiary,307,yes,no,330,2,other,341,no
39,technician,secondary,147,yes,no,-1,0,unknown,151,no
41,entrepreneur,tertiary,221,yes,no,-1,0,unknown,57,no
43,services,primary,-88,yes,yes,147,2,failure,313,no
39,services,secondary,9374,yes,no,-1,0,unknown,273,no
43,admin.,secondary,264,yes,no,-1,0,unknown,113,no
36,technician,tertiary,1109,no,no,-1,0,unknown,328,no
20,student,secondary,502,no,no,-1,0,unknown,261,yes
31,blue-collar,secondary,360,yes,yes,241,1,failure,89,no
40,management,tertiary,194,no,yes,-1,0,unknown,189,no
56,technician,secondary,4073,no,no,-1,0,unknown,239,no
37,admin.,tertiary,2317,yes,no,152,2,failure,114,no
25,blue-collar,primary,-221,yes,no,-1,0,unknown,250,no
31,services,secondary,132,no,no,152,1,other,148,no
38,management,unknown,0,yes,no,-1,0,unknown,96,no
42,management,tertiary,16,no,no,-1,0,unknown,140,no
44,services,secondary,106,no,no,-1,0,unknown,109,no
44,entrepreneur,secondary,93,no,no,-1,0,unknown,125,no
26,housemaid,tertiary,543,no,no,-1,0,unknown,169,no
41,management,tertiary,5883,no,no,-1,0,unknown,182,no
55,blue-collar,primary,627,yes,no,-1,0,unknown,247,no
67,retired,unknown,696,no,no,105,2,failure,119,no
56,self-employed,secondary,784,no,yes,-1,0,unknown,149,no
53,admin.,secondary,105,no,yes,-1,0,unknown,74,no
68,retired,secondary,4189,no,no,-1,0,unknown,897,yes
31,technician,secondary,171,no,no,-1,0,unknown,81,no
59,management,secondary,42,no,no,-1,0,unknown,40,no
32,management,tertiary,2536,yes,no,-1,0,unknown,958,yes
49,technician,tertiary,1235,no,no,-1,0,unknown,354,yes
42,admin.,secondary,1811,yes,no,-1,0,unknown,150,no
78,retired,primary,229,no,no,-1,0,unknown,97,yes
32,blue-collar,secondary,2089,yes,no,-1,0,unknown,132,yes
33,management,secondary,3935,yes,no,342,2,failure,765,yes
23,services,tertiary,363,yes,no,-1,0,unknown,16,no
38,management,tertiary,11971,yes,no,101,3,failure,609,no
36,management,tertiary,553,no,no,-1,0,unknown,106,no
52,blue-collar,secondary,1117,yes,no,-1,0,unknown,365,no
32,technician,tertiary,396,yes,no,-1,0,unknown,205,no
32,technician,tertiary,2204,yes,no,-1,0,unknown,11,no
34,management,tertiary,872,yes,no,-1,0,unknown,105,no
55,blue-collar,primary,145,no,no,5,2,other,59,no
26,blue-collar,primary,0,yes,no,-1,0,unknown,425,no
32,entrepreneur,primary,-849,yes,yes,-1,0,unknown,204,no
61,admin.,unknown,4629,yes,no,92,1,success,181,yes
45,blue-collar,primary,844,no,no,-1,0,unknown,1018,yes
37,technician,secondary,228,yes,no,-1,0,unknown,1740,no
38,technician,secondary,50,no,no,-1,0,unknown,98,no
34,technician,tertiary,1539,yes,no,56,1,other,441,yes
53,blue-collar,secondary,2231,yes,no,-1,0,unknown,272,no
48,admin.,secondary,3064,yes,no,-1,0,unknown,159,no
57,management,secondary,82,no,yes,-1,0,unknown,140,no
33,self-employed,tertiary,2155,no,no,-1,0,unknown,295,no
36,retired,secondary,101,yes,yes,-1,0,unknown,314,no
54,technician,secondary,784,yes,yes,-1,0,unknown,579,no
41,blue-collar,primary,-516,no,yes,-1,0,unknown,554,no
63,retired,secondary,415,yes,no,-1,0,unknown,323,no
48,management,tertiary,5887,no,no,-1,0,unknown,227,no
48,services,secondary,1355,no,no,-1,0,unknown,134,no
56,admin.,secondary,16873,no,no,-1,0,unknown,223,no
51,blue-collar,secondary,203,yes,no,170,5,failure,134,no
31,services,secondary,338,yes,no,-1,0,unknown,155,no
29,technician,secondary,444,yes,no,-1,0,unknown,130,no
41,management,secondary,0,no,yes,-1,0,unknown,630,no
32,technician,tertiary,360,no,no,-1,0,unknown,164,no
37,management,tertiary,0,no,no,182,3,success,268,yes
42,entrepreneur,tertiary,2,yes,no,-1,0,unknown,380,no
31,management,tertiary,6248,yes,no,-1,0,unknown,154,no
41,services,tertiary,412,yes,no,-1,0,unknown,154,no
56,retired,secondary,344,yes,no,-1,0,unknown,221,no
54,management,tertiary,3222,no,no,-1,0,unknown,67,no
41,blue-collar,secondary,174,yes,no,297,1,other,367,no
40,technician,secondary,591,no,yes,-1,0,unknown,87,no
50,blue-collar,primary,388,no,no,-1,0,unknown,701,no
40,unemployed,secondary,219,yes,no,196,1,failure,204,no
27,admin.,secondary,451,yes,no,-1,0,unknown,652,yes
60,retired,primary,5,no,no,-1,0,unknown,63,no
28,admin.,secondary,177,yes,yes,-1,0,unknown,150,no
52,services,secondary,657,no,no,460,2,failure,398,yes
37,management,tertiary,1315,no,no,-1,0,unknown,224,yes
51,blue-collar,primary,1466,yes,no,-1,0,unknown,406,no
41,technician,secondary,879,no,yes,-1,0,unknown,60,no
35,blue-collar,primary,293,yes,no,-1,0,unknown,521,no
38,admin.,secondary,424,yes,no,-1,0,unknown,279,no
34,blue-collar,secondary,1831,yes,no,-1,0,unknown,203,no
39,blue-collar,primary,111,no,no,-1,0,unknown,201,no
34,blue-collar,primary,455,yes,no,-1,0,unknown,372,no
27,services,secondary,-195,yes,no,-1,0,unknown,391,yes
32,management,tertiary,3616,no,no,-1,0,unknown,165,no
57,blue-collar,secondary,14093,no,no,-1,0,unknown,231,no
41,unknown,tertiary,1567,no,no,-1,0,unknown,291,no
41,admin.,tertiary,5426,yes,no,-1,0,unknown,149,no
30,admin.,tertiary,261,no,no,137,20,failure,233,no
36,blue-collar,secondary,2843,no,no,182,1,success,473,no
31,unemployed,primary,406,no,no,-1,0,unknown,736,yes
36,blue-collar,secondary,0,yes,no,-1,0,unknown,337,no
38,management,tertiary,493,yes,no,367,7,failure,553,no
49,technician,secondary,5996,no,no,-1,0,unknown,345,no
57,services,primary,3777,yes,no,-1,0,unknown,65,no
34,management,secondary,524,no,no,-1,0,unknown,9,no
32,management,tertiary,574,yes,no,145,3,failure,259,no
37,blue-collar,secondary,427,yes,yes,-1,0,unknown,371,no
33,self-employed,tertiary,483,yes,no,-1,0,unknown,280,no
56,unemployed,primary,3391,no,no,-1,0,unknown,243,yes
27,housemaid,primary,0,yes,no,-1,0,unknown,435,no
21,student,secondary,2488,no,no,169,3,success,258,yes
58,management,tertiary,1517,yes,no,-1,0,unknown,7,no
32,self-employed,secondary,217,yes,yes,-1,0,unknown,317,no
33,blue-collar,secondary,22,no,no,207,1,failure,76,no
25,student,secondary,331,no,no,-1,0,unknown,170,yes
25,technician,secondary,505,no,yes,-1,0,unknown,386,yes
30,services,secondary,1808,yes,no,-1,0,unknown,83,no
22,admin.,secondary,4111,no,yes,-1,0,unknown,65,no
39,blue-collar,primary,52,no,no,-1,0,unknown,69,no
46,management,tertiary,25,no,no,-1,0,unknown,564,no
31,admin.,secondary,1890,yes,no,-1,0,unknown,588,no
45,blue-collar,primary,419,no,no,-1,0,unknown,113,no
32,technician,secondary,2693,yes,no,-1,0,unknown,16,no
36,blue-collar,secondary,-231,no,yes,-1,0,unknown,779,no
51,management,tertiary,-55,yes,no,266,6,failure,281,no
